Requirement_ID,Requirement_Description,Component_ID,Component_Name,Verification_Method,Verification_Status,Test_Reference,Notes
95-00-03-REQ-101,Cloud platform orchestration and service management,95-40-01-C001,Kubernetes Cluster Manager,Test,Pass,TEST-PLT-001,Verified in staging
95-00-03-REQ-102,Service discovery and registration,95-40-01-C003,Service Registry and Discovery,Test,Pass,TEST-PLT-002,Verified in staging
95-00-03-REQ-105,REST API gateway for external clients,95-40-02-C003,REST API Gateway,Test,Pass,TEST-API-001,Load tested
95-00-03-REQ-106,gRPC service interfaces for internal communication,95-40-02-C004,gRPC Service Interface,Test,Pass,TEST-API-002,Latency verified
95-00-03-REQ-205,Safety-critical partition isolation (ARINC 653),95-40-01-C002,ARINC 653 Partition Manager,Formal Proof,Pass,CERT-EMB-001,DO-178C Level A certified
95-00-03-REQ-206,Deterministic network communication (ARINC 664),95-40-04-C002,ARINC 664 Communication Stack,Test,Pass,CERT-EMB-002,DO-178C Level A certified
95-00-03-REQ-207,CAN bus communication for legacy systems,95-40-04-C003,CAN Bus Driver,Test,Pass,CERT-EMB-003,DO-178C Level B certified
95-00-03-REQ-208,Hardware abstraction layer for portability,95-40-04-C004,Device Drivers and HAL,Test,Pass,CERT-EMB-004,DO-178C Level A certified
95-00-03-REQ-301,TensorFlow model serving for cloud inference,95-40-02-C001,TensorFlow Serving,Test,Pass,TEST-ML-001,Throughput verified
95-00-03-REQ-302,ONNX runtime for cross-platform inference,95-40-02-C002,ONNX Runtime Engine,Test,Pass,TEST-ML-002,Certified for DO-178C Level C
95-00-03-REQ-401,Orchestration of ML training pipelines,95-40-03-C001,Apache Airflow Pipeline Orchestrator,Test,Pass,TEST-OPS-001,DAG validation complete
95-00-03-REQ-402,Experiment tracking and reproducibility,95-40-03-C002,MLflow Experiment Tracker,Test,Pass,TEST-OPS-002,Lineage verified
95-00-03-REQ-403,Feature storage and serving for training/inference,95-40-03-C003,Feature Store Service,Test,Pass,TEST-OPS-003,Low-latency access verified
95-00-03-REQ-404,Model versioning and registry,95-40-03-C004,Model Registry,Test,Pass,TEST-OPS-004,Version control tested
95-00-03-REQ-501,Real-time onboard neural network inference,95-40-04-C001,Onboard Inference Engine,Test,Pass,CERT-EMB-005,DO-178C Level B certified
95-00-03-REQ-601,Runtime monitoring of NN outputs for safety,95-40-05-C001,Runtime Safety Monitor,Formal Proof,Pass,CERT-SAF-001,DO-178C Level A certified
95-00-03-REQ-602,Input validation and sanitization,95-40-05-C002,Input Validation Guard,Formal Proof,Pass,CERT-SAF-002,DO-178C Level A certified
95-00-03-REQ-603,Fallback to safe state on NN failure,95-40-05-C003,Fallback Controller,Test,Pass,CERT-SAF-003,DO-178C Level A certified
95-00-03-REQ-604,Voting mechanism for redundant NN outputs,95-40-05-C004,Voting Mechanism Manager,Test,Pass,CERT-SAF-004,DO-178C Level A certified
95-00-03-REQ-701,OAuth2/OIDC authentication for users and services,95-40-06-C001,OAuth2/OIDC Authentication Service,Test,Pass,TEST-SEC-001,Penetration tested
95-00-03-REQ-702,Role-based access control (RBAC),95-40-06-C002,RBAC Authorization Engine,Test,Pass,TEST-SEC-002,Policy enforcement verified
