Requirement_ID,Title,Category,Parent_Requirement,Child_Requirements,Interface_Documents,V&V_Activities,Priority,Status,ATA_Chapter
53-00-03-01-005,Compatibility with SHM Assumptions,01_Structural_Integrity,CS-25.571;CS-25.1529,"53-00-03-07-001;53-00-03-07-002;57-00-03-07-001;24-00-03-SHM-001;45-00-03-SHM-001;28-00-03-SHM-001","ICD-53-24-SHM-001;ICD-53-31-SHM-001;ICD-53-42-SHM-001;ICD-53-45-SHM-001;ICD-53-57-SHM-001;ICD-53-73-SHM-001",V&V-53-011;V&V-53-012;V&V-53-013;V&V-53-014;V&V-53-015,MEDIUM,UNDER_REVIEW,53
53-00-03-07-001,Sensor Network Coverage,07_SHM_and_Monitoring,53-00-03-01-005,—,ICD-53-SHM-001,V&V-53-074;V&V-53-174,MEDIUM,DRAFT,53
53-00-03-07-002,Data Acquisition Requirements,07_SHM_and_Monitoring,53-00-03-01-005,—,ICD-53-42-SHM-001,V&V-53-075;V&V-53-175,MEDIUM,DRAFT,53
57-00-03-07-001,Wing SHM Compatibility,07_SHM_and_Monitoring,53-00-03-01-005,—,"ICD-57-53-SHM-001;ICD-57-24-SHM-001",V&V-57-071;V&V-57-072;V&V-57-073;V&V-57-074,HIGH,DRAFT,57
24-00-03-SHM-001,SHM Power Requirements,SHM_Interface,53-00-03-01-005,—,ICD-53-24-SHM-001,V&V-24-SHM-001;V&V-24-SHM-002;V&V-24-SHM-003;V&V-24-SHM-004,HIGH,DRAFT,24
45-00-03-SHM-001,SHM CMS Integration,SHM_Integration,53-00-03-01-005,—,ICD-53-45-SHM-001,V&V-45-SHM-001;V&V-45-SHM-002;V&V-45-SHM-003;V&V-45-SHM-004,HIGH,DRAFT,45
28-00-03-SHM-001,H2 Tank Structure Monitoring,SHM_H2_Interface,53-00-03-01-005,—,"ICD-28-53-SHM-001;ICD-28-73-001",V&V-28-SHM-001;V&V-28-SHM-002;V&V-28-SHM-003;V&V-28-SHM-004,CRITICAL,DRAFT,28
54-00-03-07-001,Nacelle Structure SHM,07_SHM_and_Monitoring,53-00-03-01-005,—,—,—,MAJOR,DRAFT,54
55-00-03-07-001,Empennage SHM Compatibility,07_SHM_and_Monitoring,53-00-03-01-005,—,—,—,MAJOR,DRAFT,55
52-00-03-07-001,Door Surround SHM,07_SHM_and_Monitoring,53-00-03-01-005,—,—,—,MODERATE,DRAFT,52
