Category,Item,Status,Progress_%,Target_Date,Owner,Notes
Design,Professional_FEA_Analysis,Not_Started,0,2026-Q1,Engineering,Replace_AI_estimates
Design,Stress_Analysis_Report,Not_Started,0,2026-Q2,Engineering,Requires_FEA_completion
Design,Fatigue_Analysis_Report,Not_Started,0,2026-Q2,Engineering,Requires_FEA_completion
Design,Damage_Tolerance_Assessment,Not_Started,0,2026-Q2,Engineering,Requires_FEA_completion
Design,Design_Freeze,Not_Started,0,2026-Q3,Engineering,After_FEA_validation
Prototype,Prototype_Build,Not_Started,0,2026-Q4,Manufacturing,Requires_design_freeze
Testing,GVT_Ground_Vibration_Test,Not_Started,0,2027-Q1,Test,CRITICAL_PATH_ITEM
Testing,Static_Ultimate_Test,Not_Started,0,2027-Q2,Test,17_psi_ultimate_pressure
Testing,Fatigue_Test,Not_Started,0,2027-Q3,Test,120000_cycles
Testing,Damage_Tolerance_Test,Not_Started,0,2027-Q3,Test,50mm_damage_scenario
Testing,Environmental_Tests,Not_Started,0,2027-Q2,Test,Temperature_humidity_salt
Testing,Functional_Tests,Not_Started,0,2027-Q2,Test,Operation_demonstration
Documentation,Test_Reports,Not_Started,0,2027-Q4,Test,All_tests_documented
Documentation,Compliance_Matrix,In_Progress,15,2026-Q1,Certification,Draft_complete
Documentation,Type_Design_Data,Not_Started,0,2027-Q4,Engineering,Drawings_specifications
Documentation,Substantiation_Data,Not_Started,0,2027-Q4,Engineering,Analysis_and_tests
Certification,DER_Selection,Not_Started,0,2026-Q1,Certification,Structural_DER_required
Certification,DER_Engagement,Not_Started,0,2026-Q2,Certification,Formal_contract
Certification,Authority_Coordination,Not_Started,0,2026-Q3,Certification,EASA_initial_meeting
Certification,TC_Application,Not_Started,0,2027-Q4,Certification,After_test_completion
Certification,Compliance_Review,Not_Started,0,2028-Q1,Certification,Authority_review
Certification,Finding_Resolution,Not_Started,0,2028-Q1,Certification,Address_findings
Certification,TC_Approval,Not_Started,0,2028-Q2,Certification,Target_approval_date
Production,Manufacturing_Plan,Not_Started,0,2027-Q4,Manufacturing,Production_procedures
Production,Quality_System,Not_Started,0,2027-Q4,Quality,QMS_documentation
Production,Production_Test_Procedures,Not_Started,0,2027-Q4,Quality,Acceptance_tests
Airworthiness,ICA_Development,Not_Started,0,2028-Q1,Tech_Pubs,Instructions_Continued_Airworthiness
Airworthiness,Maintenance_Manual,Not_Started,0,2028-Q1,Tech_Pubs,AMM_sections
Airworthiness,Life_Limits,Not_Started,0,2028-Q1,Engineering,Component_life_limits
