CAGE_Code,Company_Name,Address,Country,Type,Status,Certification,Contact_Email,Phone
A3MP0,AMPEL360,"Innovation Park, Munich",Germany,OEM,Active,"ISO9001:2015, AS9100D",procurement@ampel360.aero,+49-89-XXXXXXX
AC123,AeroComposite,"Composite Way 45, Toulouse",France,Supplier,Active,"ISO9001:2015, AS9100D, NADCAP",sales@aerocomposite.fr,+33-5-XXXXXXX
LS456,LockSys,"Security Blvd 12, Hamburg",Germany,Supplier,Active,ISO9001:2015,info@locksys.de,+49-40-XXXXXXX
ST789,SealTech,"Industrial Zone 5, Rotterdam",Netherlands,Supplier,Active,"ISO9001:2015, AS9100D",sales@sealtech.nl,+31-10-XXXXXXX
HC345,H2Connectors,"HyTech Park 3, Oslo",Norway,Supplier,Active,"ISO9001:2015, AS9100D, ISO19881",contact@h2connectors.no,+47-22-XXXXXXX
HT789,H2Tech,"Hydrogen Valley 8, Trondheim",Norway,Supplier,Active,"ISO9001:2015, AS9100D, ISO19881",info@h2tech.no,+47-73-XXXXXXX
VC678,ValveCorp,"Valve Street 23, Milan",Italy,Supplier,Active,"ISO9001:2015, PED",sales@valvecorp.it,+39-02-XXXXXXX
SP901,SafetyPro,"Safety Plaza 15, Brussels",Belgium,Supplier,Active,"ISO9001:2015, ATEX",contact@safetypro.be,+32-2-XXXXXXX
DS234,DetectSys,"Sensor Road 34, Eindhoven",Netherlands,Supplier,Active,"ISO9001:2015, IECEx",info@detectsys.nl,+31-40-XXXXXXX
FS567,FireSafe,"Fire Lane 67, London",UK,Supplier,Active,"ISO9001:2015, EN3, BS5306",sales@firesafe.co.uk,+44-20-XXXXXXX
TM123,TowMaster,"Towing Way 12, Frankfurt",Germany,Supplier,Active,ISO9001:2015,contact@towmaster.de,+49-69-XXXXXXX
PG456,PowerGen,"Electric Ave 89, Stuttgart",Germany,Supplier,Active,"ISO9001:2015, IEC61000",sales@powergen.de,+49-711-XXXXXXX
AS789,AirStart,"Compressor St 45, Zurich",Switzerland,Supplier,Active,ISO9001:2015,info@airstart.ch,+41-44-XXXXXXX
CC234,CompressCo,"Industrial Park 23, Lyon",France,Supplier,Active,"ISO9001:2015, PED",contact@compressco.fr,+33-4-XXXXXXX
EP123,EmergPro,"Emergency Rd 56, Amsterdam",Netherlands,Supplier,Active,ISO9001:2015,sales@emergpro.nl,+31-20-XXXXXXX
MS456,MedSupply,"Medical Way 78, Vienna",Austria,Supplier,Active,"ISO9001:2015, ISO13485",info@medsupply.at,+43-1-XXXXXXX
TP789,ToolPro,"Tool Street 34, Prague",Czech Republic,Supplier,Active,ISO9001:2015,contact@toolpro.cz,+420-2-XXXXXXX
CT345,CommTech,"Communication Blvd 12, Copenhagen",Denmark,Supplier,Active,"ISO9001:2015, ETSI",sales@commtech.dk,+45-33-XXXXXXX
NV001,NVIDIA,"2788 San Tomas Expressway, Santa Clara, CA",USA,Supplier,Active,"ISO9001:2015, ISO14001",enterprise@nvidia.com,+1-408-486-2000
MI234,Micron,"8000 S Federal Way, Boise, ID",USA,Supplier,Active,"ISO9001:2015, ISO14001, IATF16949",sales@micron.com,+1-208-368-4000
SM567,Samsung,"Samsung Electronics, Seoul",South Korea,Supplier,Active,"ISO9001:2015, ISO14001",sales@samsung.com,+82-2-XXXXXXX
IN890,Intel,"2200 Mission College Blvd, Santa Clara, CA",USA,Supplier,Active,"ISO9001:2015, ISO14001, IATF16949",sales@intel.com,+1-408-765-8080
ST901,SensorTech,"Sensor Plaza 45, Berlin",Germany,Supplier,Active,"ISO9001:2015, IEC61326",info@sensortech.de,+49-30-XXXXXXX
TS234,TempSense,"Temperature Way 23, Munich",Germany,Supplier,Active,"ISO9001:2015, IEC60751",sales@tempsense.de,+49-89-XXXXXXX
PP567,PressurePro,"Pressure St 12, Mannheim",Germany,Supplier,Active,"ISO9001:2015, ISO9001",contact@pressurepro.de,+49-621-XXXXXXX
VS890,VibeSense,"Vibration Rd 67, Dresden",Germany,Supplier,Active,"ISO9001:2015, ISO10816",info@vibesense.de,+49-351-XXXXXXX
DC123,DisplayCo,"Display Ave 89, Hanover",Germany,Supplier,Active,ISO9001:2015,sales@displayco.de,+49-511-XXXXXXX
BP345,BatteryPro,"Battery Way 34, Frankfurt",Germany,Supplier,Active,"ISO9001:2015, IEC62133, UN38.3",contact@batterypro.de,+49-69-XXXXXXX
CT678,CaseTech,"Case Street 56, Hamburg",Germany,Supplier,Active,ISO9001:2015,info@casetech.de,+49-40-XXXXXXX
PA901,Panasonic,"1006 Oaza Kadoma, Osaka",Japan,Supplier,Active,"ISO9001:2015, ISO14001",sales@panasonic.com,+81-6-XXXXXXX
CP234,ConnectPro,"Connect Blvd 23, Cologne",Germany,Supplier,Active,ISO9001:2015,sales@connectpro.de,+49-221-XXXXXXX
DE567,Dell,"One Dell Way, Round Rock, TX",USA,Supplier,Active,"ISO9001:2015, ISO14001",enterprise@dell.com,+1-512-338-4400
PT890,PTC,"121 Seaport Blvd, Boston, MA",USA,Supplier,Active,ISO9001:2015,info@ptc.com,+1-781-370-5000
ST123,SimuTech,"Simulator Park 12, Toulouse",France,Supplier,Active,"ISO9001:2015, EASA Part-145",contact@simutech.fr,+33-5-XXXXXXX
VS456,VisSystems,"Visual Way 45, Berlin",Germany,Supplier,Active,ISO9001:2015,sales@vissystems.de,+49-30-XXXXXXX
MB789,MotionBase,"Motion Street 67, Amsterdam",Netherlands,Supplier,Active,"ISO9001:2015, CE",info@motionbase.nl,+31-20-XXXXXXX
TP345,TrainPro,"Training Ave 23, Madrid",Spain,Supplier,Active,ISO9001:2015,contact@trainpro.es,+34-91-XXXXXXX
FC678,FlightCalc,"Aviation Park 12, London",UK,Supplier,Active,ISO9001:2015,sales@flightcalc.co.uk,+44-20-XXXXXXX
WB901,WBSystems,"Weight Plaza 34, Paris",France,Supplier,Active,ISO9001:2015,info@wbsystems.fr,+33-1-XXXXXXX
IP234,InterfacePro,"Interface Rd 56, Stockholm",Sweden,Supplier,Active,ISO9001:2015,contact@interfacepro.se,+46-8-XXXXXXX
