Part_Number,Equipment_Type,Category,Description,Unit_Cost_USD,Quantity_Per_Set,Total_Value_USD,Supplier,CAGE_Code,Lead_Time_Days
PNR-02-32-001,H2_Refueling,Operations,Refueling Panel Assembly,15000,1,15000,AMPEL360,A3MP0,90
PNR-02-32-001-01,H2_Refueling,Operations,Panel Door,3500,1,3500,AeroComposite,AC123,45
PNR-02-32-001-02,H2_Refueling,Operations,Locking Mechanism,850,1,850,LockSys,LS456,30
PNR-02-32-001-03,H2_Refueling,Operations,Seal Kit,250,2,500,SealTech,ST789,15
PNR-02-32-002,H2_Refueling,Operations,Refueling Receptacle,25000,1,25000,H2Tech,HT789,120
PNR-02-32-002-03,H2_Refueling,Operations,Check Valve,4800,1,4800,ValveCorp,VC678,30
PNR-02-32-003-01,H2_Refueling,Operations,H2 Leak Detector,1800,2,3600,DetectSys,DS234,30
PNR-02-GSE-001,GSE,Operations,Towing Equipment,45000,1,45000,TowMaster,TM123,60
PNR-02-GSE-002,GSE,Operations,Power Supply Unit,85000,1,85000,PowerGen,PG456,90
PNR-02-GSE-003,GSE,Operations,Air Start Unit,120000,1,120000,AirStart,AS789,120
PNR-CAOS-HW-001,CAOS_Hardware,Systems,Processing Unit,8500,2,17000,NVIDIA,NV001,60
PNR-CAOS-HW-002,CAOS_Hardware,Systems,Sensor Array,15000,1,15000,SensorTech,ST901,75
PNR-CAOS-HW-003,CAOS_Hardware,Systems,Display Unit,3200,2,6400,DisplayCo,DC123,30
PNR-02-EFB-001,Documentation,Systems,EFB Tablet Hardware,1200,4,4800,Samsung,SM789,30
PNR-02-PUB-001,Documentation,Systems,CSDB Server,15000,1,15000,Dell,DE567,45
PNR-02-SIM-001,Training,Equipment,Cockpit Simulator,850000,1,850000,SimuTech,ST123,180
