Drawing_Number,Title,Zone,Type,CI_Reference,Assembly_ID,Revision,Status,CAD_File,Owner,Checker,Approver,Last_Updated,Comments
53-30-0000,Zone 300 General Arrangement,300,GA,CI-53-300-00,,A,Draft,53-30-0000_Zone_300_General_Arrangement_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-1000,Frame 300 Assembly,300,Assembly,CI-53-300-10,ASM-53-300-100,A,Draft,53-30-1000_Frame_300_Assembly_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-2000,Upper Shell Panels,300,Panel,CI-53-300-20,,A,Draft,53-30-2000_Upper_Shell_Panels_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-3000,Side Shell Panels,300,Panel,CI-53-300-30,,A,Draft,53-30-3000_Side_Shell_Panels_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-4000,Passenger Door 3L Frame,300,Assembly,CI-53-300-40,ASM-53-300-400,A,Draft,53-30-4000_Passenger_Door_3L_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-4010,Passenger Door 3R Frame,300,Assembly,CI-53-300-40,ASM-53-300-401,A,Draft,53-30-4010_Passenger_Door_3R_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-4020,Passenger Door 4L Frame,300,Assembly,CI-53-300-40,ASM-53-300-402,A,Draft,53-30-4020_Passenger_Door_4L_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-4030,Passenger Door 4R Frame,300,Assembly,CI-53-300-40,ASM-53-300-403,A,Draft,53-30-4030_Passenger_Door_4R_Frame_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-4100,Overwing Exit Left 1,300,Assembly,CI-53-300-41,ASM-53-300-410,A,Draft,53-30-4100_Overwing_Exit_Left_1_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-4110,Overwing Exit Right 1,300,Assembly,CI-53-300-41,ASM-53-300-411,A,Draft,53-30-4110_Overwing_Exit_Right_1_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-30-5000,Wing Body Blend Transition,300,Assembly,CI-53-300-50,ASM-53-300-500,A,Draft,53-30-5000_Wing_Body_Blend_Transition_Q100.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
