MSN,Status,Build_Standard,Customer,Production_Start,Expected_Delivery,H2_Tank_SN,Fuel_Cell_SN,Wing_Section_SN,Notes
MSN-P001,Testing,Prototype_v1.0,AMPEL360_Test,2027-01-15,2027-12-01,HT-P001,FC-P001-L/FC-P001-R,WS-P001-L/WS-P001-R,First prototype for certification
MSN-P002,Reserved,Prototype_v1.1,AMPEL360_Test,2027-06-01,2028-03-01,,,,"Second prototype if required"
MSN-001,Reserved,Production_v1.0,Launch_Customer_A,2028-09-01,2029-06-30,,,,"First production aircraft"
MSN-002,Reserved,Production_v1.0,Launch_Customer_A,2028-10-01,2029-07-31,,,,
MSN-003,Reserved,Production_v1.0,Launch_Customer_B,2028-11-01,2029-08-31,,,,
MSN-004,Reserved,Production_v1.0,Launch_Customer_B,2028-12-01,2029-09-30,,,,
MSN-005,Reserved,Production_v1.0,Launch_Customer_C,2029-01-01,2029-10-31,,,,
MSN-006,Reserved,Production_v1.0,TBD,2029-02-01,2029-11-30,,,,
MSN-007,Reserved,Production_v1.0,TBD,2029-03-01,2029-12-31,,,,
MSN-008,Reserved,Production_v1.0,TBD,2029-04-01,2030-01-31,,,,
MSN-009,Reserved,Production_v1.0,TBD,2029-05-01,2030-02-28,,,,
MSN-010,Reserved,Production_v1.0,TBD,2029-06-01,2030-03-31,,,,
