Load_ID,Load_Description,Location,Load_Type,Connected_Load_kW,Demand_Factor,Demand_Load_kW,Power_Factor,Voltage_Level,Phase,Circuit_Breaker,Feeder_ID,Load_Category,Priority,Operating_Hours,Notes
LD-85-001,H2 Refueling Dispenser - Stand A1,Apron Stand A1,Motor,50,0.8,40,0.85,480V,3-phase,CB-H2-A1-01,FDR-H2-01,H2 Systems,Critical,24/7,Continuous operation
LD-85-002,H2 Refueling Dispenser - Stand A2,Apron Stand A2,Motor,50,0.8,40,0.85,480V,3-phase,CB-H2-A2-01,FDR-H2-01,H2 Systems,Critical,24/7,Continuous operation
LD-85-003,H2 Vaporizer Unit,H2 Facility,Heater,300,0.9,270,0.95,480V,3-phase,CB-H2-VAP-01,FDR-H2-02,H2 Systems,Critical,24/7,LH2 to GH2 conversion
LD-85-004,H2 Cryogenic Pump,H2 Storage Area,Motor,75,0.85,64,0.88,480V,3-phase,CB-H2-PUMP-01,FDR-H2-02,H2 Systems,Critical,24/7,LH2 transfer pump
LD-85-005,H2 Compressor Station,H2 Facility,Motor,150,0.85,128,0.87,480V,3-phase,CB-H2-COMP-01,FDR-H2-03,H2 Systems,Critical,On-demand,High pressure compression
LD-85-006,Ground Power Unit - Stand A1,Apron Stand A1,Converter,400,1.0,400,0.92,480V,3-phase,CB-GPU-A1-01,FDR-GPU-01,Ground Services,Critical,On-demand,Aircraft ground power
LD-85-007,Ground Power Unit - Stand A2,Apron Stand A2,Converter,400,1.0,400,0.92,480V,3-phase,CB-GPU-A2-01,FDR-GPU-01,Ground Services,Critical,On-demand,Aircraft ground power
LD-85-008,Ground Power Unit - Stand A3,Apron Stand A3,Converter,400,1.0,400,0.92,480V,3-phase,CB-GPU-A3-01,FDR-GPU-02,Ground Services,Critical,On-demand,Aircraft ground power
LD-85-009,Pre-Conditioned Air - Stand A1,Apron Stand A1,HVAC,250,0.9,225,0.88,480V,3-phase,CB-PCA-A1-01,FDR-PCA-01,Ground Services,Important,On-demand,Cabin conditioning
LD-85-010,Pre-Conditioned Air - Stand A2,Apron Stand A2,HVAC,250,0.9,225,0.88,480V,3-phase,CB-PCA-A2-01,FDR-PCA-01,Ground Services,Important,On-demand,Cabin conditioning
LD-85-011,Air Start Unit - Apron,Apron Equipment Yard,Motor/Compressor,150,0.85,128,0.86,480V,3-phase,CB-ASU-01,FDR-GSE-01,Ground Services,Important,On-demand,Engine starting
LD-85-012,Baggage Loader - Stand A1,Apron Stand A1,Motor,75,0.7,53,0.85,480V,3-phase,CB-BL-A1-01,FDR-GSE-02,Ground Services,Important,Per flight,Container handling
LD-85-013,Baggage Loader - Stand A2,Apron Stand A2,Motor,75,0.7,53,0.85,480V,3-phase,CB-BL-A2-01,FDR-GSE-02,Ground Services,Important,Per flight,Container handling
LD-85-014,Compressed Air Station,Utility Building,Motor/Compressor,450,0.85,383,0.87,480V,3-phase,CB-AIR-01,FDR-UTIL-01,Utilities,Important,24/7,Instrument air supply
LD-85-015,Chiller Plant - H2 Facility,H2 Control Building,HVAC,200,0.9,180,0.88,480V,3-phase,CB-HVAC-H2-01,FDR-HVAC-01,HVAC,Important,24/7,H2 facility cooling
LD-85-016,HVAC - Terminal Building,Terminal Building,HVAC,300,0.8,240,0.87,480V,3-phase,CB-HVAC-TERM-01,FDR-HVAC-02,HVAC,Important,Operating hours,Passenger comfort
LD-85-017,HVAC - Maintenance Hangar,Maintenance Hangar,HVAC,400,0.75,300,0.86,480V,3-phase,CB-HVAC-MNT-01,FDR-HVAC-03,HVAC,Non-Critical,Operating hours,Maintenance area
LD-85-018,Fire Pump - H2 Facility,H2 Fire Protection,Motor,200,1.0,200,0.88,480V,3-phase,CB-FIRE-H2-01,FDR-FIRE-01,Fire Safety,Critical,Standby,Emergency fire pump
LD-85-019,Fire Pump - Main Facility,Fire Station,Motor,150,1.0,150,0.88,480V,3-phase,CB-FIRE-MAIN-01,FDR-FIRE-02,Fire Safety,Critical,Standby,Main fire protection
LD-85-020,H2 Leak Detection System,H2 Facility,Electronic,10,1.0,10,0.95,230V,1-phase,CB-H2-LEAK-01,FDR-SAFETY-01,Safety,Critical,24/7,Continuous monitoring
LD-85-021,Fire Alarm Panel,H2 Facility,Electronic,5,1.0,5,0.98,230V,1-phase,CB-FIRE-PANEL-01,FDR-SAFETY-01,Safety,Critical,24/7,Fire detection system
LD-85-022,Emergency Lighting - H2 Area,H2 Facility,Lighting,20,1.0,20,1.0,230V,1-phase,CB-EMERG-LT-H2,FDR-EMERG-01,Emergency,Critical,24/7,Battery backed
LD-85-023,Emergency Lighting - Apron,Apron Area,Lighting,50,1.0,50,1.0,230V,Various,CB-EMERG-LT-APR,FDR-EMERG-02,Emergency,Critical,24/7,Safety lighting
LD-85-024,Apron Floodlighting,Apron Area,Lighting,150,0.95,143,1.0,480V,3-phase,CB-LT-APRON-01,FDR-LIGHT-01,Lighting,Important,Night ops,LED high mast
