Component_ID,Component_Name,Section,Requirements_Source,Design_Status,Verification_Status,Certification_Status,Related_ATAs,Notes
00-10-01,Aircraft_Description,00-10,Type_Certificate,Complete,Verified,Pending_Approval,"All chapters",Master description document
00-10-02,Specifications_Summary,00-10,Top_Level_Requirements,Complete,Verified,Pending_Approval,"ATA-06,ATA-50",Summary of key specs
00-10-03,Operational_Envelope,00-10,Performance_Requirements,Complete,In_Progress,Not_Started,"ATA-30,ATA-50",Flight envelope definition
00-10-04,Certification_Basis,00-10,Regulatory_Requirements,Complete,Verified,Pending_Approval,"ATA-00,ATA-04",CS-25 and Part 25 basis
00-10-05,Regulatory_Compliance,00-10,EASA_FAA_Requirements,Complete,In_Progress,Not_Started,All_chapters,Compliance matrix
00-10-06,Record_of_Revisions,00-10,Document_Control,Active,Ongoing,Not_Applicable,ATA-00,Living document
00-20-01,Systems_Architecture,00-20,System_Requirements,In_Progress,Not_Started,Not_Started,"ATA-20 thru ATA-80",Overall architecture
00-20-02,OPT-IN_Framework_Overview,00-20,Framework_Definition,Complete,Verified,Not_Started,All_chapters,AMEDEOPELLICCIA framework
00-20-03,Major_Systems_List,00-20,System_Inventory,Complete,Verified,Not_Started,All_technical_chapters,Comprehensive system list
00-20-04,System_Integration_Philosophy,00-20,Integration_Requirements,In_Progress,Not_Started,Not_Started,"ATA-42,ATA-45",IMA and data integration
00-20-05,AMEDEOPELLICCIA_Domains,00-20,Domain_Architecture,Complete,Verified,Not_Started,All_chapters,13-domain breakdown
00-20-06,Technology_Readiness_Levels,00-20,TRL_Assessment,In_Progress,Not_Started,Not_Started,All_technical_chapters,TRL tracking
00-20-07,Innovation_Highlights,00-20,Innovation_Claims,Complete,In_Progress,Not_Started,"ATA-21,ATA-28,ATA-47",H2 and CO2 systems
00-20-08,System_Interdependencies,00-20,Interface_Requirements,In_Progress,Not_Started,Not_Started,All_technical_chapters,Dependency matrix
00-30-01,Takeoff_Performance,00-30,Performance_Requirements,In_Progress,Not_Started,Not_Started,"ATA-71,ATA-80",TO performance data
00-30-02,Climb_Performance,00-30,Performance_Requirements,In_Progress,Not_Started,Not_Started,"ATA-71,ATA-22",Climb schedule
00-30-03,Cruise_Performance,00-30,Performance_Requirements,In_Progress,Not_Started,Not_Started,"ATA-28,ATA-71",Cruise optimization
00-30-04,Descent_Performance,00-30,Performance_Requirements,In_Progress,Not_Started,Not_Started,"ATA-71,ATA-27",Descent profiles
00-30-05,Landing_Performance,00-30,Performance_Requirements,In_Progress,Not_Started,Not_Started,"ATA-27,ATA-32",Landing data
00-30-06,Range_and_Endurance,00-30,Mission_Requirements,In_Progress,Not_Started,Not_Started,"ATA-28,ATA-49",Range calculations
00-30-07,Fuel_Efficiency_Metrics,00-30,Efficiency_Requirements,In_Progress,Not_Started,Not_Started,"ATA-28,ATA-73",H2 consumption rates
00-30-08,Environmental_Performance,00-30,Environmental_Requirements,In_Progress,Not_Started,Not_Started,"ATA-21,ATA-28",CO2 capture metrics
00-40-01,Weight_Breakdown,00-40,Weight_Requirements,Complete,In_Progress,Not_Started,All_chapters,OEW and MTOW
00-40-02,Center_of_Gravity_Envelope,00-40,Stability_Requirements,In_Progress,Not_Started,Not_Started,"ATA-27,ATA-40",CG limits
00-40-03,Loading_Instructions,00-40,Loading_Requirements,In_Progress,Not_Started,Not_Started,"ATA-12,ATA-50",Load planning
00-40-04,Ballast_Requirements,00-40,Balance_Requirements,In_Progress,Not_Started,Not_Started,ATA-41,Ballast specifications
00-40-05,Weight_Growth_Tracking,00-40,Program_Management,Active,Ongoing,Not_Applicable,All_chapters,Weight control log
00-40-06,Payload_Range_Diagrams,00-40,Mission_Requirements,In_Progress,Not_Started,Not_Started,"ATA-30,ATA-40",PR diagrams
00-50-01,Airspeed_Limitations,00-50,Flight_Envelope,Complete,Verified,Pending_Approval,"ATA-27,ATA-30",Vmo/Mmo limits
00-50-02,Altitude_Limitations,00-50,Flight_Envelope,Complete,Verified,Pending_Approval,"ATA-21,ATA-71",Ceiling limits
00-50-03,Temperature_Limitations,00-50,Environmental_Limits,Complete,Verified,Pending_Approval,"ATA-21,ATA-30",Temperature envelope
00-50-04,Weight_Limitations,00-50,Structural_Limits,Complete,Verified,Pending_Approval,"ATA-40,ATA-53",Max weights
00-50-05,Maneuver_Limitations,00-50,Flight_Envelope,Complete,Verified,Pending_Approval,ATA-27,Load factor limits
00-50-06,Powerplant_Limitations,00-50,Engine_Limits,Complete,In_Progress,Not_Started,"ATA-71,ATA-72",Engine parameter limits
00-50-07,System_Limitations,00-50,System_Requirements,In_Progress,Not_Started,Not_Started,All_technical_chapters,System-specific limits
00-50-08,Operational_Limitations,00-50,Operations_Requirements,Complete,In_Progress,Not_Started,"ATA-02,ATA-05",Operational restrictions
00-60-01,Standard_Abbreviations,00-60,Documentation_Standards,Complete,Verified,Approved,All_chapters,Standard abbrev list
00-60-02,Technical_Terminology,00-60,Documentation_Standards,Complete,Verified,Approved,All_chapters,Technical terms
00-60-03,Units_of_Measurement,00-60,Documentation_Standards,Complete,Verified,Approved,All_chapters,SI and Imperial units
00-60-04,Glossary,00-60,Documentation_Standards,Complete,In_Progress,Not_Started,All_chapters,Master glossary
00-60-05,Symbol_Definitions,00-60,Documentation_Standards,Complete,In_Progress,Not_Started,"ATA-31,ATA-77",Symbol standards
00-70-01,ATA_Chapter_Cross_Reference,00-70,Documentation_Standards,Complete,Verified,Not_Started,All_chapters,ATA chapter index
00-70-02,Part_Number_Cross_Reference,00-70,Configuration_Management,In_Progress,Not_Started,Not_Started,All_technical_chapters,PN index
00-70-03,Wiring_Diagram_Index,00-70,EWIS_Requirements,In_Progress,Not_Started,Not_Started,"ATA-24,ATA-42",WD index
00-70-04,Tool_and_Equipment_Cross_Reference,00-70,Maintenance_Requirements,In_Progress,Not_Started,Not_Started,"ATA-13,All_chapters",Tool index
00-70-05,Regulatory_Reference_Index,00-70,Compliance_Requirements,Complete,In_Progress,Not_Started,All_chapters,Regulatory ref index
00-80-01,Document_Hierarchy,00-80,Documentation_Standards,Complete,Verified,Approved,All_chapters,Doc tree structure
00-80-02,Manuals_List,00-80,Documentation_Standards,Complete,In_Progress,Not_Started,All_chapters,All manuals index
00-80-03,Drawing_Standards,00-80,Engineering_Standards,Complete,Verified,Approved,All_technical_chapters,Drawing conventions
00-80-04,Data_Module_Specifications,00-80,S1000D_Requirements,In_Progress,Not_Started,Not_Started,All_chapters,DM specifications
00-80-05,Document_Control_Procedures,00-80,Quality_Requirements,Complete,Verified,Approved,All_chapters,DCN procedures
00-80-06,S1000D_IETP_Structure,00-80,IETP_Requirements,In_Progress,Not_Started,Not_Started,All_chapters,Interactive doc structure
00-90-01,Type_Certificate_Data_Sheet,00-90,Certification_Requirements,Complete,Verified,Pending_Approval,All_chapters,TCDS master
00-90-02,Special_Conditions,00-90,Certification_Requirements,Complete,Verified,Pending_Approval,"ATA-28,BWB",Special conditions list
00-90-03,Equivalent_Safety_Findings,00-90,Certification_Requirements,Complete,In_Progress,Not_Started,"ATA-21,ATA-47",ESF documentation
00-90-04,Exemptions,00-90,Certification_Requirements,Complete,In_Progress,Not_Started,Various,Exemption requests
00-90-05,Noise_Certification,00-90,Environmental_Requirements,In_Progress,Not_Started,Not_Started,"ATA-61,ATA-71",Noise compliance
00-90-06,Emissions_Certification,00-90,Environmental_Requirements,In_Progress,Not_Started,Not_Started,"ATA-71,ATA-78",Emissions data
00-90-07,Continued_Airworthiness,00-90,Airworthiness_Requirements,In_Progress,Not_Started,Not_Started,"ATA-05,All_chapters",CA program
00-90-08,Service_Experience_Database,00-90,Operations_Data,Active,Ongoing,Not_Applicable,All_chapters,Service history log
