Part_Number,Description,Type,Category,Manufacturer,CAGE_Code,Status,Unit_Cost_USD,Lead_Time_Days
PNR-02-32-001,Refueling Panel Assembly,Assembly,H2_Equipment,AMPEL360,A3MP0,Active,15000,90
PNR-02-32-001-01,Panel Door,Component,H2_Equipment,AeroComposite,AC123,Active,3500,45
PNR-02-32-001-02,Locking Mechanism,Component,H2_Equipment,LockSys,LS456,Active,850,30
PNR-02-32-001-03,Seal Kit,Kit,H2_Equipment,SealTech,ST789,Active,250,15
PNR-02-32-001-04,Connector Assembly,Assembly,H2_Equipment,H2Connectors,HC345,Active,1200,30
PNR-02-32-002,Refueling Receptacle,Assembly,H2_Equipment,H2Tech,HT789,Active,25000,120
PNR-02-32-002-01,Receptacle Body,Component,H2_Equipment,H2Tech,HT789,Active,8500,60
PNR-02-32-002-02,Coupling Interface,Component,H2_Equipment,H2Connectors,HC345,Active,6200,45
PNR-02-32-002-03,Check Valve,Component,H2_Equipment,ValveCorp,VC678,Active,4800,30
PNR-02-32-003,Safety Equipment Set,Kit,H2_Equipment,SafetyPro,SP901,Active,3500,45
PNR-02-32-003-01,H2 Leak Detector,Component,H2_Equipment,DetectSys,DS234,Active,1800,30
PNR-02-32-003-02,Emergency Shutoff Valve,Component,H2_Equipment,ValveCorp,VC678,Active,2200,30
PNR-02-32-003-03,Fire Suppression Kit,Kit,H2_Equipment,FireSafe,FS567,Active,1500,20
PNR-02-GSE-001,Towing Equipment,Assembly,GSE,TowMaster,TM123,Active,45000,60
PNR-02-GSE-001-01,Towbar Assembly,Component,GSE,TowMaster,TM123,Active,12000,30
PNR-02-GSE-001-02,Tow Head,Component,GSE,TowMaster,TM123,Active,8500,30
PNR-02-GSE-002,Power Supply Unit,Assembly,GSE,PowerGen,PG456,Active,85000,90
PNR-02-GSE-002-01,Power Generator,Component,GSE,PowerGen,PG456,Active,65000,75
PNR-02-GSE-003,Air Start Unit,Assembly,GSE,AirStart,AS789,Active,120000,120
PNR-02-GSE-003-01,Compressor,Component,GSE,CompressCo,CC234,Active,75000,90
PNR-02-EMG-001,Emergency Response Kit,Kit,Emergency,EmergPro,EP123,Active,5500,30
PNR-02-EMG-001-01,First Aid Kit,Kit,Emergency,MedSupply,MS456,Active,850,10
PNR-02-EMG-001-02,Emergency Tools,Kit,Emergency,ToolPro,TP789,Active,1200,15
PNR-02-EMG-001-03,Communication Equipment,Component,Emergency,CommTech,CT345,Active,2800,25
PNR-02-EMG-002,Fire Suppression Equipment,Assembly,Emergency,FireSafe,FS567,Active,12000,45
PNR-02-EMG-002-01,Fire Extinguisher (Halon),Component,Emergency,FireSafe,FS567,Active,650,10
PNR-CAOS-HW-001,Processing Unit,Assembly,CAOS_Hardware,NVIDIA,NV001,Active,8500,60
PNR-CAOS-HW-001-01,CPU Module,Component,CAOS_Hardware,NVIDIA,NV001,Active,3500,45
PNR-CAOS-HW-001-02,Memory Module,Component,CAOS_Hardware,Micron,MI234,Active,2200,30
PNR-CAOS-HW-001-02C,Memory Module (Upgraded),Component,CAOS_Hardware,Micron,MI234,Active,2500,30
PNR-CAOS-HW-001-03,Storage Module,Component,CAOS_Hardware,Samsung,SM567,Active,1800,20
PNR-CAOS-HW-001-04,Network Interface,Component,CAOS_Hardware,Intel,IN890,Active,950,15
PNR-CAOS-HW-002,Sensor Array,Assembly,CAOS_Hardware,SensorTech,ST901,Active,15000,75
PNR-CAOS-HW-002-01,Temperature Sensors,Component,CAOS_Hardware,TempSense,TS234,Active,125,10
PNR-CAOS-HW-002-02,Pressure Sensors,Component,CAOS_Hardware,PressurePro,PP567,Active,285,15
PNR-CAOS-HW-002-03,Vibration Sensors,Component,CAOS_Hardware,VibeSense,VS890,Active,380,20
PNR-CAOS-HW-003,Display Unit,Assembly,CAOS_Hardware,DisplayCo,DC123,Active,3200,30
PNR-CAOS-SW-001,CAOS Core System v2.0,Software,CAOS_Software,AMPEL360,A3MP0,Active,N/A,0
PNR-CAOS-SW-002,Neural Network Models v3.2,Software,CAOS_Software,AMPEL360,A3MP0,Active,N/A,0
PNR-CAOS-SW-003,Digital Twin Engine v1.5,Software,CAOS_Software,AMPEL360,A3MP0,Active,N/A,0
PNR-02-EFB-001,EFB Tablet Hardware,Assembly,Documentation,Samsung,SM789,Active,1200,30
PNR-02-EFB-001-01,Display Screen,Component,Documentation,Samsung,SM789,Active,450,20
PNR-02-EFB-001-01A,Display Screen (Improved),Component,Documentation,Samsung,SM789,Active,480,20
PNR-02-EFB-001-02,Battery Pack,Component,Documentation,BatteryPro,BP345,Active,180,15
PNR-02-EFB-001-03,Protective Case,Component,Documentation,CaseTech,CT678,Active,95,10
PNR-02-EFB-001B,EFB Tablet Hardware (Alt Mfg),Assembly,Documentation,Panasonic,PA901,Active,1350,35
PNR-02-EFB-002,EFB Software,Software,Documentation,AMPEL360,A3MP0,Active,N/A,0
PNR-02-EFB-003,Connectivity Kit,Kit,Documentation,ConnectPro,CP234,Active,285,15
PNR-02-PUB-001,CSDB Server,Assembly,Documentation,Dell,DE567,Active,15000,45
PNR-02-PUB-002,S1000D Tools,Software,Documentation,PTC,PT890,Active,N/A,0
PNR-02-SIM-001,Cockpit Simulator,Assembly,Training,SimuTech,ST123,Active,850000,180
PNR-02-SIM-002,Visual System,Assembly,Training,VisSystems,VS456,Active,450000,150
PNR-02-SIM-003,Motion Platform,Assembly,Training,MotionBase,MB789,Active,620000,180
PNR-02-TRN-001,H2 Safety Trainer,Assembly,Training,TrainPro,TP345,Active,35000,60
PNR-02-TRN-002,CAOS Interface Trainer,Assembly,Training,AMPEL360,A3MP0,Active,28000,45
PNR-02-10-001,Performance Calculator,Assembly,Flight_Planning,FlightCalc,FC678,Active,18500,60
PNR-02-10-001-01,Hardware Platform,Component,Flight_Planning,Dell,DE567,Active,8500,30
PNR-02-10-001-02,Software License,Software,Flight_Planning,FlightCalc,FC678,Active,N/A,0
PNR-02-20-001,W&B Computer System,Assembly,Weight_Balance,WBSystems,WB901,Active,22000,75
PNR-02-20-001-01,Computing Unit,Component,Weight_Balance,Dell,DE567,Active,9500,30
PNR-02-20-001-02,Interface Module,Component,Weight_Balance,InterfacePro,IP234,Active,4200,30
PNR-02-20-001-03,Display Unit,Component,Weight_Balance,DisplayCo,DC123,Active,3800,25
