Component,Part_Number,Material,Quantity,Unit_Mass_kg,Total_Mass_kg,Calculation_Method,Confidence,Margin_%
Face_Sheet_Outer,52-10-01-101,CFRP_M21E,1,25.8,25.8,Density_x_Volume,High,5
Face_Sheet_Inner,52-10-01-102,CFRP_M21E,1,25.8,25.8,Density_x_Volume,High,5
Core,52-10-01-103,Nomex_HRH10,1,4.0,4.0,Manufacturer_Data,High,3
Lightning_Protection,52-10-01-104,ECF_Copper,1,0.8,0.8,Area_Weight,Medium,10
Edge_Bands,52-10-01-105,CFRP_Solid,1,2.2,2.2,Estimate,Low,15
Inserts_Titanium,52-10-01-106,Ti-6Al-4V,24,0.35,8.4,Calculated,Medium,10
Adhesive_Film,52-10-01-107,EA_9396,1,3.0,3.0,Coverage_Estimate,Low,20
Paint_Coating,52-10-01-108,Polyurethane,1,2.0,2.0,Industry_Typical,Low,25
TOTAL_PANEL,-,-,-,-,72.0,Sum,Medium,10
Frame_Assembly,52-10-01-200,AL_7075,1,42.0,42.0,Preliminary,Low,15
TOTAL_DOOR,-,-,-,-,114.0,Sum,Low,12
WEIGHT_TARGET,-,-,-,-,140.0,Requirement,-,-
MARGIN,-,-,-,-,26.0,Under_Target,Good,19
