Supplier_Name,CAGE_Code,Country,Type,Quality_Rating,On_Time_Delivery,Lead_Time_Performance,Audit_Date,Audit_Result,Certifications,Notes
AMPEL360,A3MP0,Germany,OEM,A+,98%,Excellent,2025-09-15,Passed,"ISO9001:2015, AS9100D",In-house design and manufacturing
AeroComposite,AC123,France,Tier1,A,96%,Excellent,2025-08-20,Passed,"ISO9001:2015, AS9100D, NADCAP",Composite structures specialist
H2Tech,HT789,Norway,Tier1,A,95%,Good,2025-10-05,Passed,"ISO9001:2015, AS9100D, ISO19881",H₂ equipment specialist
NVIDIA,NV001,USA,Tier1,A+,97%,Excellent,2025-07-12,Passed,"ISO9001:2015, ISO14001",Computing hardware
Samsung,SM789,South Korea,Tier1,A,94%,Good,2025-06-30,Passed,"ISO9001:2015, ISO14001",Display and storage solutions
LockSys,LS456,Germany,Tier2,B+,92%,Good,2025-09-01,Conditional,"ISO9001:2015",Locking mechanisms - action plan in place
SealTech,ST789,Netherlands,Tier2,A-,93%,Good,2025-08-15,Passed,"ISO9001:2015, AS9100D",Sealing solutions
ValveCorp,VC678,Italy,Tier2,A,95%,Excellent,2025-07-20,Passed,"ISO9001:2015, PED",Valve supplier
SafetyPro,SP901,Belgium,Tier2,A,96%,Good,2025-10-10,Passed,"ISO9001:2015, ATEX",Safety equipment specialist
DetectSys,DS234,Netherlands,Tier2,A-,91%,Good,2025-06-25,Passed,"ISO9001:2015, IECEx",Detection systems
FireSafe,FS567,UK,Tier2,A,97%,Excellent,2025-09-18,Passed,"ISO9001:2015, EN3, BS5306",Fire suppression equipment
TowMaster,TM123,Germany,Tier2,B+,89%,Fair,2025-08-05,Conditional,ISO9001:2015,GSE equipment - improving performance
PowerGen,PG456,Germany,Tier1,A,94%,Good,2025-10-01,Passed,"ISO9001:2015, IEC61000",Power generation equipment
CompressCo,CC234,France,Tier2,A-,92%,Good,2025-07-15,Passed,"ISO9001:2015, PED",Compressor systems
DisplayCo,DC123,Germany,Tier2,A,95%,Excellent,2025-09-22,Passed,ISO9001:2015,Display systems
Micron,MI234,USA,Tier1,A+,98%,Excellent,2025-08-10,Passed,"ISO9001:2015, ISO14001, IATF16949",Memory solutions
Intel,IN890,USA,Tier1,A+,97%,Excellent,2025-06-18,Passed,"ISO9001:2015, ISO14001, IATF16949",Networking hardware
SensorTech,ST901,Germany,Tier2,A,94%,Good,2025-10-12,Passed,"ISO9001:2015, IEC61326",Sensor systems
SimuTech,ST123,France,Tier1,A-,93%,Good,2025-07-25,Passed,"ISO9001:2015, EASA Part-145",Flight simulator systems
Dell,DE567,USA,Tier1,A,96%,Excellent,2025-09-05,Passed,"ISO9001:2015, ISO14001",Server and computing platforms
