Load_Case_ID,CS_25_Para,Description,Configuration,Weight_kg,Load_Factor,Speed_Condition,Status,Priority
LC-MAN-01,25.331,Symmetric pull-up,Clean,220000,2.5,VC,Required,Critical
LC-MAN-02,25.331,Symmetric push-over,Clean,220000,-1.0,VC,Required,Critical
LC-MAN-03,25.333,Flight maneuvering envelope,Clean,220000,Variable,VA to VD,Required,High
LC-MAN-04,25.349,Rolling maneuver,Clean,220000,Variable,VA,Required,Medium
LC-MAN-05,25.351,Yaw maneuver,Clean,220000,Variable,VA,Required,Medium
LC-GUST-01,25.341,Vertical gust +56 fps,Clean,220000,Variable,VC,Required,Critical
LC-GUST-02,25.341,Vertical gust -56 fps,Clean,220000,Variable,VC,Required,Critical
LC-GUST-03,25.341,Vertical gust +66 fps,Clean,220000,Variable,VB,Required,High
LC-GUST-04,25.341,Lateral gust,Clean,220000,Variable,VC,Required,Medium
LC-HL-01,25.345,High-lift take-off,TO flaps 20°,220000,Variable,V2 to VFE,Required,High
LC-HL-02,25.345,High-lift landing,LDG flaps 30°,190000,Variable,VREF to VFE,Required,High
LC-PRESS-01,25.365,Max cabin pressure,Pressurized,220000,1.0,Cruise,Required,Critical
LC-PRESS-02,25.365,Negative pressure relief,Pressurized,220000,-0.5,Ground,Required,Medium
LC-LDG-01,25.479,Level landing symmetric,Gear down,190000,3.0,VLOF,Required,Critical
LC-LDG-02,25.481,Tail-down landing,Gear down,190000,2.4,VLOF,Required,Critical
LC-LDG-03,25.483,One-gear landing,Gear down,190000,3.0,VLOF,Required,Critical
LC-LDG-04,25.485,Side load drift landing,Gear down,190000,3.0,VLOF,Required,High
LC-LDG-05,25.487,Rebound landing,Gear down,190000,1.8,VLOF,Required,Medium
LC-TAXI-01,25.491,Taxi bump,Gear down,220000,2.0,Taxi speed,Required,Medium
LC-TAXI-02,25.493,Braking max,Gear down,220000,1.0,V1,Required,Medium
LC-TAXI-03,25.495,Turning max steering,Gear down,220000,1.0,Taxi speed,Required,Low
LC-ENG-01,25.427,Engine failure OEI,Clean,220000,Variable,VC,Required,High
LC-ENG-02,25.367,Unsymmetrical loads,Clean,220000,Variable,VC,Required,High
LC-COMB-01,25.365,Combined maneuver + pressure,Pressurized,220000,2.5,VC,Required,Critical
LC-COMB-02,25.365,Combined gust + pressure,Pressurized,220000,Variable,VC,Required,Critical
