Component,Supplier_Primary,Supplier_Backup,Status,Lead_Time_Weeks,MOQ,Price_per_Unit,Quality_Status,Risk
CFRP_Prepreg,Hexcel,Toray,Qualified,8,50_kg,$150/kg,AS9100,Low
Nomex_Core,DuPont,Euro-Composites,Evaluating,6,20_m2,$500/m2,Pending,Medium
Adhesive_Film,Henkel,3M,Qualified,4,10_kg,$200/kg,Approved,Low
Titanium_Inserts,LISI_Aerospace,Arconic,Evaluating,12,100_pcs,$100/pc,AS9100,Medium
Fasteners,PCC,Stanley,Qualified,8,500_pcs,$25/pc,Approved,Low
Aluminum_Frame,Local_Machine,TBD,Not_Started,10,1_set,$5000,TBD,High
Seals,Trelleborg,Parker,Evaluating,6,10_m,$300/m,Testing,Medium
Paint,PPG,Akzo,Qualified,2,20_L,$100/L,Approved,Low
Lightning_Strip,Dexmet,TBD,Not_Started,8,100_m,$50/m,TBD,High
Autoclave_Service,ACT_Aerospace,TBD,Negotiating,0,Per_run,$2000/run,AS9100,Medium
NDT_Service,Element,TBD,Qualified,0,Per_scan,$500/scan,NADCAP,Low
