# =============================================================================
# ATA 54 REQUIREMENTS TRACEABILITY TEMPLATE
# =============================================================================
# Instructions:
# 1. Copy this template and rename: 54-00-04-T<NNN>_Requirements_Traceability_<Name>.csv
# 2. Replace all <PLACEHOLDER> values with actual data
# 3. Remove example rows and populate with real data
# 4. One requirement per row
# 5. Update ASSETS/INDEX.meta.yaml with the new traceability matrix entry
# =============================================================================

Requirement_ID,Requirement_Title,Requirement_Type,Priority,Status,Parent_Requirement,Design_Element_ID,Design_Element_Type,Design_Element_Title,Verification_Method,Verification_Status,Test_Procedure_ID,Safety_Impact,Safety_Reference,Compliance_Basis,Notes
54-00-03-01-001,"<Requirement Title>",<Functional|Performance|Interface|Safety|Regulatory>,<High|Medium|Low>,<Draft|Approved|Verified|Closed>,<Parent_ID or N/A>,54-00-04-P001,PART,"<Design element title>",<Analysis|Test|Inspection|Demo>,<Not-Started|In-Progress|Complete|N/A>,54-00-07-01-001,<None|Minor|Major|Hazardous|Catastrophic>,"<FHA reference or N/A>",<CS-25.xxx>,"<Free-form notes>"
54-00-03-01-002,"<Requirement Title>",<Functional|Performance|Interface|Safety|Regulatory>,<High|Medium|Low>,<Draft|Approved|Verified|Closed>,<Parent_ID or N/A>,54-00-04-D001,DRWG,"<Design element title>",<Analysis|Test|Inspection|Demo>,<Not-Started|In-Progress|Complete|N/A>,54-00-07-01-002,<None|Minor|Major|Hazardous|Catastrophic>,"<FHA reference or N/A>",<CS-25.xxx>,"<Free-form notes>"
54-00-03-01-003,"<Requirement Title>",<Functional|Performance|Interface|Safety|Regulatory>,<High|Medium|Low>,<Draft|Approved|Verified|Closed>,<Parent_ID or N/A>,ASM-54-NAC-001,ASSY,"<Design element title>",<Analysis|Test|Inspection|Demo>,<Not-Started|In-Progress|Complete|N/A>,54-00-07-01-003,<None|Minor|Major|Hazardous|Catastrophic>,"<FHA reference or N/A>",<CS-25.xxx>,"<Free-form notes>"
54-00-03-02-001,"<Requirement Title>",<Functional|Performance|Interface|Safety|Regulatory>,<High|Medium|Low>,<Draft|Approved|Verified|Closed>,<Parent_ID or N/A>,54-00-04-M701,MODL,"<Design element title>",<Analysis|Test|Inspection|Demo>,<Not-Started|In-Progress|Complete|N/A>,N/A,<None|Minor|Major|Hazardous|Catastrophic>,"<FHA reference or N/A>",<CS-25.xxx>,"<Free-form notes>"
54-00-03-03-001,"<Requirement Title>",<Functional|Performance|Interface|Safety|Regulatory>,<High|Medium|Low>,<Draft|Approved|Verified|Closed>,<Parent_ID or N/A>,54-00-04-I001,INST,"<Design element title>",<Analysis|Test|Inspection|Demo>,<Not-Started|In-Progress|Complete|N/A>,54-00-07-03-001,<None|Minor|Major|Hazardous|Catastrophic>,"<FHA reference or N/A>",<CS-25.xxx>,"<Free-form notes>"

# =============================================================================
# FIELD DEFINITIONS
# =============================================================================
# 
# Requirement_ID: Unique identifier from requirements documents (54-00-03-XX-NNN)
# Requirement_Title: Short title of the requirement
# Requirement_Type: Category of requirement
#   - Functional: What the system must do
#   - Performance: How well the system must perform
#   - Interface: How the system connects with others
#   - Safety: Safety-related requirements
#   - Regulatory: Certification and regulatory compliance
# Priority: Importance level (High, Medium, Low)
# Status: Current status of the requirement
#   - Draft: Under development
#   - Approved: Approved by stakeholders
#   - Verified: Verification complete
#   - Closed: Requirement satisfied and closed
# Parent_Requirement: ID of parent requirement if this is derived (N/A if top-level)
# Design_Element_ID: ID of the design element that satisfies this requirement
# Design_Element_Type: Type of design element
#   - PART: Individual part (P-prefix)
#   - DRWG: Engineering drawing (D-prefix)
#   - ASSY: Assembly (ASM-prefix)
#   - MODL: Model/analysis (M-prefix)
#   - INST: Installation (I-prefix)
#   - PROD: Product (PR-prefix)
# Design_Element_Title: Name/title of the design element
# Verification_Method: How requirement compliance is verified
#   - Analysis: Engineering analysis/calculations
#   - Test: Physical testing
#   - Inspection: Visual or dimensional inspection
#   - Demo: Demonstration of functionality
# Verification_Status: Status of verification activity
#   - Not-Started: Verification not yet begun
#   - In-Progress: Verification in progress
#   - Complete: Verification successfully completed
#   - N/A: Verification not applicable
# Test_Procedure_ID: Reference to test procedure document (N/A if not applicable)
# Safety_Impact: Failure effect classification per ARP4761/CS-25
#   - None: No safety impact
#   - Minor: Minor impact, no significant reduction in safety
#   - Major: Major impact, significant reduction in safety margins
#   - Hazardous: Large reduction in safety margins, crew workload increase
#   - Catastrophic: Multiple fatalities or loss of aircraft
# Safety_Reference: Reference to FHA, PSSA, or other safety analysis (N/A if none)
# Compliance_Basis: Regulatory paragraph or standard this satisfies (e.g., CS-25.601)
# Notes: Additional information, clarifications, or cross-references
#
# =============================================================================
# USAGE NOTES
# =============================================================================
#
# 1. One-to-Many Mapping: A single requirement may be satisfied by multiple 
#    design elements. Create separate rows for each mapping.
#
# 2. Many-to-One Mapping: Multiple requirements may be satisfied by a single
#    design element. Create separate rows for each requirement.
#
# 3. Hierarchical Requirements: Use Parent_Requirement field to track 
#    requirement decomposition and derivation.
#
# 4. Verification Tracking: Use Verification_Status to track progress through
#    the V&V process.
#
# 5. Safety Traceability: Always populate Safety_Impact and Safety_Reference
#    for requirements derived from safety analyses.
#
# 6. Compliance Evidence: The Compliance_Basis field provides direct link to
#    certification basis for audits and reviews.
#
# 7. Status Updates: Update Status field as requirements progress through
#    their lifecycle (Draft → Approved → Verified → Closed).
#
# 8. Version Control: When requirements change, preserve historical rows
#    and add new rows with updated information. Add note indicating superseded.
#
# =============================================================================
# DOCUMENT CONTROL
# =============================================================================
#
# Template Version: 1.0
# Status: Active
# Created Date: 2026-01-07
# Author: AMPEL360 ATA 54 Design Team
# Standard: AMPEL360 Requirements Traceability Standard
# 
# =============================================================================
