Part_Number,Description,Recommended_Qty,Criticality,Provisioning_Category,Location,Reorder_Point,Lead_Time_Days,Unit_Cost_USD,Total_Value_USD
PNR-02-32-001-03,Seal Kit,12,Critical,A,Central_Warehouse,4,15,250,3000
PNR-02-32-002-03,Check Valve,6,Critical,A,Central_Warehouse,2,30,4800,28800
PNR-02-32-003-01,H2 Leak Detector,4,Critical,A,Central_Warehouse,1,30,1800,7200
PNR-02-32-003-02,Emergency Shutoff Valve,4,Critical,A,Central_Warehouse,1,30,2200,8800
PNR-02-EMG-002-01,Fire Extinguisher (Halon),20,Essential,B,Line_Maintenance,5,10,650,13000
PNR-CAOS-HW-001-02,Memory Module,3,Important,B,Central_Warehouse,1,30,2200,6600
PNR-CAOS-HW-002-01,Temperature Sensors,50,Important,B,Central_Warehouse,10,10,125,6250
PNR-CAOS-HW-002-02,Pressure Sensors,30,Important,B,Central_Warehouse,8,15,285,8550
PNR-02-EFB-001-02,Battery Pack,15,Standard,C,Line_Maintenance,5,15,180,2700
PNR-02-EFB-001-03,Protective Case,10,Standard,C,Line_Maintenance,3,10,95,950
PNR-02-32-001-01,Panel Door,2,Critical,A,Central_Warehouse,0,45,3500,7000
PNR-02-32-001-02,Locking Mechanism,3,Critical,A,Central_Warehouse,1,30,850,2550
PNR-CAOS-HW-002-03,Vibration Sensors,20,Important,B,Central_Warehouse,5,20,380,7600
PNR-02-GSE-001-01,Towbar Assembly,1,Essential,B,GSE_Storage,0,30,12000,12000
PNR-02-EMG-001-01,First Aid Kit,8,Essential,B,Line_Maintenance,2,10,850,6800
PNR-02-32-002-01,Receptacle Body,1,Critical,A,Central_Warehouse,0,60,8500,8500
PNR-02-EFB-001,EFB Tablet Hardware,5,Important,B,Central_Warehouse,2,30,1200,6000
PNR-CAOS-HW-001-03,Storage Module,2,Important,B,Central_Warehouse,1,20,1800,3600
PNR-02-EMG-001-03,Communication Equipment,4,Essential,B,Central_Warehouse,1,25,2800,11200
PNR-02-32-003-03,Fire Suppression Kit,6,Critical,A,Central_Warehouse,2,20,1500,9000
