Position,Required_Skills,Certification_Required,Experience_Years,Headcount,Priority
Composite_Technician_Senior,CFRP_layup_vacuum_bagging_trimming,Composite_Level_3,5+,2,CRITICAL
Composite_Technician,CFRP_layup_vacuum_bagging,Composite_Level_2,3-5,2,HIGH
Assembly_Mechanic_Senior,Mechanical_assembly_torque_tooling,A&P_or_equivalent,5+,1,HIGH
Assembly_Mechanic,Mechanical_assembly_hand_tools,Technical_diploma,2-5,2,MEDIUM
Quality_Inspector,Dimensional_inspection_NDT,AS9100_auditor,5+,1,HIGH
NDT_Technician,Ultrasonic_C-scan,ASNT_Level_II,3+,1,HIGH
Material_Handler,Forklift_inventory_systems,Forklift_cert,1-3,1,MEDIUM
Paint_Technician,Aerospace_painting_surface_prep,Coating_cert,3+,1,MEDIUM
Production_Supervisor,Manufacturing_management_planning,Engineering_degree,5+,1,HIGH
Quality_Engineer,Quality_systems_SPC_FMEA,Six_Sigma_Green,3+,1,HIGH
Manufacturing_Engineer,Process_engineering_improvement,Engineering_degree,3+,1,MEDIUM
Planner,Production_scheduling_MRP,Business_degree,2+,1,MEDIUM
TOTAL,Multiple,Multiple,Various,15,N/A
