Category,Element,Cost_per_Unit,Percentage,Notes,Cost_Reduction_Opportunity
Material,CFRP_Prepreg,$3870,35.2%,25.8kg_@_$150/kg,Volume_discount_possible
Material,Nomex_Core,$980,8.9%,1.96m2_@_$500/m2,Alternative_suppliers
Material,Adhesive,$180,1.6%,3kg_@_$60/kg,Bulk_purchasing
Material,Inserts,$2400,21.8%,24pcs_@_$100,Simplify_design
Material,Other,$500,4.5%,Fasteners_consumables,Standardization
Labor,Layup,$640,5.8%,16hr_@_$40/hr,Automation_AFP
Labor,Assembly,$360,3.3%,12hr_@_$30/hr,Improved_fixtures
Labor,Inspection,$300,2.7%,6hr_@_$50/hr,Inline_inspection
Labor,Other,$400,3.6%,Support_functions,Lean_implementation
Overhead,Facility,$500,4.5%,Allocation,Higher_volume
Overhead,Equipment,$300,2.7%,Depreciation,Asset_utilization
Overhead,Quality,$200,1.8%,QC_allocation,Process_improvement
Overhead,Engineering,$400,3.6%,NRE_amortization,Design_stability
Profit,Margin,$970,8.8%,Target_8-10%,Efficiency_gains
TOTAL,Unit_Cost,$11000,100.0%,Production_rate_8/month,Target_$9500_by_unit_50
