Req_ID,Requirement_Description,Category,DSR_Reference,FC_Reference,Verification_Method,Test_Procedure_ID,Status,Evidence,Owner,Last_Updated,Notes
REQ-53-30-001,ANCHORS shall achieve minimum 40% material circularity rate,Circularity,,,"Analysis, Test",TP-CIRC-001,Open,,TBD,2025-11-25,LCA analysis required
REQ-53-30-002,All components shall be designed for disassembly,Circularity,,,Inspection,TP-CIRC-002,Open,,TBD,2025-11-25,Design review
REQ-53-30-003,Material passport data shall be available via DPP,Circularity,,,Demonstration,TP-CIRC-003,Open,,TBD,2025-11-25,DPP integration test
REQ-53-30-004,Recycled content shall exceed 25% by mass,Circularity,,,Analysis,TP-CIRC-004,Open,,TBD,2025-11-25,Material tracking
REQ-53-30-005,Design life shall be minimum 60000 flight cycles,Circularity,,,Analysis,TP-CIRC-005,Open,,TBD,2025-11-25,Fatigue analysis
REQ-53-30-010,Harvesting systems shall recover minimum 5 kW average,Energy Harvest,,,Test,TP-HARV-001,Open,,TBD,2025-11-25,Power measurement
REQ-53-30-011,Waste heat recovery efficiency shall exceed 30%,Energy Harvest,,,"Analysis, Test",TP-HARV-002,Open,,TBD,2025-11-25,Thermal test
REQ-53-30-012,Energy harvest shall not degrade ECS performance,Energy Harvest,,FC-002,Test,TP-HARV-003,Open,,TBD,2025-11-25,ECS integration test
REQ-53-30-013,Harvested power quality shall meet DO-160 Section 16,Energy Harvest,,,Test,TP-HARV-004,Open,,TBD,2025-11-25,EMC qualification
REQ-53-30-014,Harvesting loss shall be gracefully managed,Energy Harvest,,FC-001,Test,TP-HARV-005,Open,,TBD,2025-11-25,Failure mode test
REQ-53-30-020,CO2 capture rate shall exceed 50 kg/flight,CO2 Capture,,,Test,TP-CO2-001,Open,,TBD,2025-11-25,Full flight test
REQ-53-30-021,Cabin CO2 levels shall not exceed 1500 ppm,CO2 Capture,,,Test,TP-CO2-002,Open,,TBD,2025-11-25,Cabin air quality test
REQ-53-30-022,Solidification cartridges shall be ground-swappable in < 5 min,CO2 Capture,,,Demonstration,TP-CO2-003,Open,,TBD,2025-11-25,Ground ops demo
REQ-53-30-023,CO2 system failure shall not affect ECS safety baseline,CO2 Capture,,"FC-003, FC-004","Analysis, Test",TP-CO2-004,Open,,TBD,2025-11-25,Failure mode test
REQ-53-30-024,Bay CO2 concentration shall be monitored continuously,CO2 Capture,DSR-003-001,FC-003,Test,TP-CO2-005,Open,,TBD,2025-11-25,Sensor validation
REQ-53-30-030,Water recovery rate shall exceed 80%,Water Recycling,,,Test,TP-WATER-001,Open,,TBD,2025-11-25,Recovery rate test
REQ-53-30-031,Recycled water shall meet aviation potable standards,Water Recycling,,FC-007,Test,TP-WATER-002,Open,,TBD,2025-11-25,Water quality test
REQ-53-30-032,Contamination detection shall trigger automatic bypass,Water Recycling,DSR-007-002,FC-007,Test,TP-WATER-003,Open,,TBD,2025-11-25,Auto-bypass test
REQ-53-30-033,Multi-stage filtration shall provide 3 barriers minimum,Water Recycling,DSR-007-003,FC-007,Analysis,TP-WATER-004,Open,,TBD,2025-11-25,Design analysis
REQ-53-30-040,Battery module swap time shall be < 3 minutes,Battery Loop,,,Demonstration,TP-BATT-001,Open,,TBD,2025-11-25,Ground ops demo
REQ-53-30-041,Thermal management shall maintain cells within 15-35C,Battery Loop,,,Test,TP-BATT-002,Open,,TBD,2025-11-25,Thermal test
REQ-53-30-042,Dual independent cooling loops shall be provided,Battery Loop,,FC-005,Inspection,TP-BATT-003,Open,,TBD,2025-11-25,Design review
REQ-53-30-043,Cell-level thermal runaway shall not propagate,Battery Loop,DSR-005-001,FC-005,Test,TP-BATT-004,Open,,TBD,2025-11-25,Propagation test
REQ-53-30-044,Fire suppression shall activate within 5 seconds of detection,Battery Loop,DSR-005-004,FC-005,Test,TP-BATT-005,Open,,TBD,2025-11-25,Fire test
REQ-53-30-SM-001,Cell temperature monitoring +-5C accuracy,Safety Monitoring,DSR-005-002,FC-005,Test,TP-SM-001,Open,,TBD,2025-11-25,Sensor accuracy test
REQ-53-30-SM-002,Module temperature gradient detection dT > 10C/min alarm,Safety Monitoring,DSR-005-002,FC-005,Test,TP-SM-002,Open,,TBD,2025-11-25,Gradient detection test
REQ-53-30-SM-003,Cooling loop flow detection - Loss detected in < 5s,Safety Monitoring,DSR-005-003,FC-005,Test,TP-SM-003,Open,,TBD,2025-11-25,Flow sensor test
REQ-53-30-SM-004,Battery bay smoke detection - Activation < 30s,Safety Monitoring,,FC-005,Test,TP-SM-004,Open,,TBD,2025-11-25,Smoke test
REQ-53-30-SM-005,Thermal runaway gas detection - VOC threshold,Safety Monitoring,,FC-005,Test,TP-SM-005,Open,,TBD,2025-11-25,Gas sensor test
REQ-53-30-SM-010,Bay CO2 concentration +-0.1% accuracy,Safety Monitoring,DSR-003-001,FC-003,Test,TP-SM-010,Open,,TBD,2025-11-25,CO2 sensor accuracy
REQ-53-30-SM-011,CO2 low-level alarm threshold 2%,Safety Monitoring,DSR-003-003,FC-003,Test,TP-SM-011,Open,,TBD,2025-11-25,Alarm test
REQ-53-30-SM-012,CO2 high-level alarm threshold 3%,Safety Monitoring,DSR-003-003,FC-003,Test,TP-SM-012,Open,,TBD,2025-11-25,Alarm test
REQ-53-30-SM-013,Cabin CO2 monitoring backup +-50 ppm accuracy,Safety Monitoring,,FC-004,Test,TP-SM-013,Open,,TBD,2025-11-25,Backup sensor test
REQ-53-30-SM-014,Cartridge pressure monitoring +-0.5 bar accuracy,Safety Monitoring,,FC-017,Test,TP-SM-014,Open,,TBD,2025-11-25,Pressure sensor test
REQ-53-30-SM-020,Turbidity monitoring < 1 NTU,Safety Monitoring,DSR-007-001,FC-007,Test,TP-SM-020,Open,,TBD,2025-11-25,Turbidity test
REQ-53-30-SM-021,pH monitoring +-0.1 pH accuracy,Safety Monitoring,DSR-007-001,FC-007,Test,TP-SM-021,Open,,TBD,2025-11-25,pH sensor test
REQ-53-30-SM-022,Conductivity monitoring +-5% accuracy,Safety Monitoring,DSR-007-001,FC-007,Test,TP-SM-022,Open,,TBD,2025-11-25,Conductivity test
REQ-53-30-SM-023,Chlorine residual +-0.1 ppm,Safety Monitoring,DSR-007-004,FC-007,Test,TP-SM-023,Open,,TBD,2025-11-25,Chlorine test
REQ-53-30-SM-024,Contamination alarm composite threshold,Safety Monitoring,DSR-007-002,FC-007,Test,TP-SM-024,Open,,TBD,2025-11-25,Alarm integration test
REQ-53-30-SM-030,Coolant level detection low-level alarm,Safety Monitoring,,FC-013,Test,TP-SM-030,Open,,TBD,2025-11-25,Level sensor test
REQ-53-30-SM-031,Coolant leak detection in drip tray,Safety Monitoring,DSR-013-001,FC-013,Test,TP-SM-031,Open,,TBD,2025-11-25,Leak detection test
REQ-53-30-SM-032,Coolant flow rate +-5% accuracy,Safety Monitoring,DSR-012-001,FC-012,Test,TP-SM-032,Open,,TBD,2025-11-25,Flow sensor test
REQ-53-30-SM-040,Floor interface temperature +-2C accuracy,Safety Monitoring,,FC-011,Test,TP-SM-040,Open,,TBD,2025-11-25,Temperature test
REQ-53-30-SM-041,Over-temperature alarm threshold 60C,Safety Monitoring,DSR-011-002,FC-011,Test,TP-SM-041,Open,,TBD,2025-11-25,Alarm test
REQ-53-30-SM-042,Skin temperature +-2C accuracy,Safety Monitoring,,FC-010,Test,TP-SM-042,Open,,TBD,2025-11-25,Skin temp test
REQ-53-30-SM-050,H2 concentration detection +-0.1% accuracy,Safety Monitoring,DSR-014-002,FC-014,Test,TP-SM-050,Open,,TBD,2025-11-25,H2 sensor test
REQ-53-30-SM-051,H2 low-level alarm threshold 0.5%,Safety Monitoring,DSR-014-002,FC-014,Test,TP-SM-051,Open,,TBD,2025-11-25,Alarm test
REQ-53-30-SM-052,H2 high-level alarm threshold 1.0%,Safety Monitoring,DSR-014-002,FC-014,Test,TP-SM-052,Open,,TBD,2025-11-25,Alarm test
REQ-53-30-AI-001,Safety-related AI functions shall be assigned appropriate TQL/DAL,AI/ML Assurance,,"FC-005, FC-007",Analysis,TP-AI-001,Open,,TBD,2025-11-25,AMC 20-152A
REQ-53-30-AI-002,AI models shall be trained on representative operational data,AI/ML Assurance,,,Demonstration,TP-AI-002,Open,,TBD,2025-11-25,Training data review
REQ-53-30-AI-003,AI output shall be validated against physics-based models,AI/ML Assurance,,,Analysis,TP-AI-003,Open,,TBD,2025-11-25,Model comparison
REQ-53-30-AI-004,AI prediction uncertainty shall be quantified and bounded,AI/ML Assurance,,,Analysis,TP-AI-004,Open,,TBD,2025-11-25,Uncertainty analysis
REQ-53-30-AI-005,Human oversight shall be maintained for safety-critical AI,AI/ML Assurance,,,Demonstration,TP-AI-005,Open,,TBD,2025-11-25,HMI review
REQ-53-30-AI-006,AI model updates shall follow change control process,AI/ML Assurance,,,Inspection,TP-AI-006,Open,,TBD,2025-11-25,CM audit
REQ-53-30-AI-007,AI inference shall meet real-time performance requirements,AI/ML Assurance,,,Test,TP-AI-007,Open,,TBD,2025-11-25,Performance test
REQ-53-30-AI-008,Erroneous AI output shall not mislead flight crew,AI/ML Assurance,,FC-016,Test,TP-AI-008,Open,,TBD,2025-11-25,HMI validation
REQ-53-30-ENV-001,Equipment shall operate in -40C to +70C ambient,Environmental,,,Test,TP-ENV-001,Open,,TBD,2025-11-25,DO-160 Section 4
REQ-53-30-ENV-002,Equipment shall withstand 95% RH non-condensing,Environmental,,,Test,TP-ENV-002,Open,,TBD,2025-11-25,DO-160 Section 6
REQ-53-30-ENV-003,Equipment shall withstand vibration per DO-160 Cat S,Environmental,,,Test,TP-ENV-003,Open,,TBD,2025-11-25,DO-160 Section 8
REQ-53-30-ENV-004,Equipment shall meet DO-160 EMC Category M,Environmental,,,Test,TP-ENV-004,Open,,TBD,2025-11-25,DO-160 Section 20-22
REQ-53-30-ENV-005,Equipment shall meet DO-160 HIRF Category A,Environmental,,,Test,TP-ENV-005,Open,,TBD,2025-11-25,DO-160 Section 20
REQ-53-30-IF-001,Thermal interface with ECS shall be per ICD,Interface,,,Inspection,TP-IF-001,Open,,TBD,2025-11-25,ICD verification
REQ-53-30-IF-002,Electrical interface with power system shall be per ICD,Interface,,,Test,TP-IF-002,Open,,TBD,2025-11-25,Electrical test
REQ-53-30-IF-003,Data interface with AI/NN monitoring shall be per ICD,Interface,,,Test,TP-IF-003,Open,,TBD,2025-11-25,Data bus test
REQ-53-30-IF-004,Fire detection integration shall be per ICD,Interface,,,Test,TP-IF-004,Open,,TBD,2025-11-25,ATA 26 integration
REQ-53-30-IF-005,Structural attachment shall be per ICD,Interface,,,Analysis,TP-IF-005,Open,,TBD,2025-11-25,Stress analysis
DSR-003-001,CO2 bay ventilation provisions,Derived Safety,,,Analysis + Inspection,TP-DSR-003-001,Open,,TBD,2025-11-25,Traces to FC-003
DSR-003-002,Bay ventilation shall prevent CO2 > 3%,Derived Safety,,FC-003,Analysis + Test,TP-DSR-003-002,Open,,TBD,2025-11-25,Ventilation test
DSR-003-003,CO2 alarm shall activate before concentration reaches 2%,Derived Safety,,FC-003,Test,TP-DSR-003-003,Open,,TBD,2025-11-25,Alarm threshold test
DSR-003-004,Pressure relief shall prevent cartridge rupture,Derived Safety,,FC-017,Test,TP-DSR-003-004,Open,,TBD,2025-11-25,Pressure relief test
DSR-003-005,Cartridge connections shall be leak-tested before flight,Derived Safety,,FC-003,Inspection,TP-DSR-003-005,Open,,TBD,2025-11-25,Pre-flight procedure
DSR-005-001,Thermal isolation to prevent propagation,Derived Safety,,FC-005,Test + Analysis,TP-DSR-005-001,Open,,TBD,2025-11-25,Propagation test
DSR-005-002,Cooling loop failure detected < 5s,Derived Safety,,FC-005,Test,TP-DSR-005-002,Open,,TBD,2025-11-25,Detection time test
DSR-005-003,CO2 bay ventilation provisions,Derived Safety,,FC-003,Analysis + Inspection,TP-DSR-005-003,Open,,TBD,2025-11-25,Ventilation design
DSR-005-004,Automatic battery bay suppression,Derived Safety,,FC-005,Test,TP-DSR-005-004,Open,,TBD,2025-11-25,Fire suppression test
DSR-005-005,No cell-to-cell propagation,Derived Safety,,FC-005,Test + Analysis,TP-DSR-005-005,Open,,TBD,2025-11-25,Abuse testing
DSR-005-006,Battery bay ventilation shall safely vent gases overboard,Derived Safety,,FC-005,Analysis + Test,TP-DSR-005-006,Open,,TBD,2025-11-25,Vent path test
DSR-007-001,Water quality sensors shall monitor output continuously,Derived Safety,,FC-007,Test,TP-DSR-007-001,Open,,TBD,2025-11-25,Sensor validation
DSR-007-002,Contamination detection shall trigger automatic bypass to dump,Derived Safety,,FC-007,Test,TP-DSR-007-002,Open,,TBD,2025-11-25,Auto-bypass test
DSR-007-003,Multi-stage filtration shall provide barrier redundancy,Derived Safety,,FC-007,Analysis,TP-DSR-007-003,Open,,TBD,2025-11-25,Design analysis
DSR-007-004,Recycled water shall meet EPA/EASA potable water standards,Derived Safety,,FC-007,Test,TP-DSR-007-004,Open,,TBD,2025-11-25,Water quality test
