Category,Subcategory,Q4_2025,Q1_2026,Q2_2026,Q3_2026,Total,Notes
Personnel,Technical_Writers,120000,150000,150000,100000,520000,6_writers_avg
Personnel,SME_Consulting,40000,60000,80000,60000,240000,8_SMEs_part_time
Personnel,Training_Developers,30000,60000,80000,60000,230000,CBT_and_instructor_led
Personnel,Illustrators,25000,40000,50000,35000,150000,Technical_illustrations
Personnel,Translators,0,50000,100000,80000,230000,French_German_Spanish
Personnel,QA_Specialists,15000,25000,30000,25000,95000,Quality_control
Software,Authoring_Tools,100000,50000,25000,25000,200000,S1000D_editors_licenses
Software,CSDB_System,150000,25000,25000,25000,225000,Content_management
Software,Collaboration,10000,10000,10000,10000,40000,Project_mgmt_tools
Hardware,Workstations,50000,0,0,0,50000,High_performance_PCs
Infrastructure,Cloud_Services,15000,20000,25000,25000,85000,Storage_and_hosting
Training,Staff_Training,30000,20000,15000,10000,75000,S1000D_skills_training
Production,Print_Production,0,0,50000,100000,150000,Physical_documentation
Production,Translation_Services,0,40000,80000,60000,180000,External_translation
Travel,SME_Coordination,10000,15000,20000,15000,60000,Site_visits
Contingency,Risk_Reserve,50000,50000,75000,75000,250000,10_pct_contingency
Total,All_Categories,645000,615000,815000,705000,2780000,Total_budget
