Standard,Title,Application,Compliance,Status
ATA_100,Aircraft Systems Spec,Coordinate systems,Full,Active
ICAO_Annex14,Aerodromes,Code E compatibility,Full,Active
CS-25.25,Weight Limits,Dimensional verification,Full,Active
CS-25.231,Ground Clearance,Minimum clearances,Full,Active
CS-25.365,Pressurization,Center body design,Full,Active
CS-25.841,Pressurized Cabins,Geometry definition,Full,Active
ISO_1151,Flight Dynamics,Reference systems,Full,Active
SAE_AS8015,Flight Deck,Dimensional standards,Full,Active
MIL-STD-483,Configuration Management,Change control,Full,Active
ATA_iSpec2200,Technical Publications,Documentation format,Full,Active
ASME_Y14.5,GD&T,Tolerancing standards,Full,Active
ISO_1101,Geometric Tolerancing,Dimensional control,Full,Active
