Parameter,Value,Unit,Condition,Notes
MLW,85000,kg,Maximum,Maximum landing weight
Landing Distance,1800,m,SL ISA,Sea level standard conditions
VREF Reference Speed,135,KIAS,MLW,Final approach reference speed
Threshold Speed,140,KIAS,MLW,Speed over threshold
Touchdown Speed,130,KIAS,MLW,Actual touchdown speed
Approach Angle,3,deg,Standard,Glideslope angle
Flare Height,15,m,Typical,Flare initiation height
Flare Distance,300,m,Typical,Distance during flare
Reverse Thrust Available,Yes,boolean,Standard,Electric motor reversing
Braking Coefficient Dry,0.45,ratio,Maximum,Dry runway friction
Braking Coefficient Wet,0.32,ratio,Maximum,Wet runway friction
Autobrake Settings,5,levels,Available,Low to Max settings
Temperature Effect,Minimal,qualitative,All,Landing less affected by temp
Altitude Effect,ISA+2000,ft,Maximum,High altitude limitation
Wind Correction,±5,kt,Typical,Crosswind correction capability
BWB Landing Advantage,15,%,vs Conv,Shorter landing distance
Ground Effect Benefit,Enhanced,qualitative,Significant,BWB ground effect on landing
Fuel Burn Landing,8,kg,Typical,H2 fuel for landing phase
Brake Cooling Required,Yes,boolean,Standard,Standard brake cooling period
Go-Around Capability,Full,qualitative,MLW,Full go-around capability at MLW
