Zone,Assembly_ID,Fastener_Type,Size,Material,Quantity,Spacing_mm,Torque_Nm,Tolerance_Percent,Edge_Distance_mm,Pattern,Notes
100,ASM-53-100-001,Bolt,M8x25,Ti-6Al-4V,48,150,45,5,20,Uniform,"Forward Bulkhead"
100,ASM-53-100-002,Bolt,M10x30,300M Steel,64,120,80,3,25,Clustered,"NLG Bay - High Load"
100,ASM-53-100-003,Bolt,M6x20,Ti-6Al-4V,120,200,35,5,15,Uniform,"Cockpit Structure"
200,ASM-53-200-001,Bolt,M6x16,Ti-6Al-4V,1536,150,30,5,15,Grid,"Upper Shell Stringers"
200,ASM-53-200-002,Bolt,M6x16,Ti-6Al-4V,1280,150,30,5,15,Grid,"Lower Shell Stringers"
200,ASM-53-200-DOOR-1L,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 1L"
200,ASM-53-200-DOOR-1R,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 1R"
200,ASM-53-200-DOOR-2L,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 2L"
200,ASM-53-200-DOOR-2R,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 2R"
300,ASM-53-300-001,Bolt,M6x16,Ti-6Al-4V,864,150,30,5,15,Grid,"Side Shell Left"
300,ASM-53-300-002,Bolt,M6x16,Ti-6Al-4V,864,150,30,5,15,Grid,"Side Shell Right"
300,ASM-53-300-DOOR-3L,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 3L"
300,ASM-53-300-DOOR-3R,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 3R"
300,ASM-53-300-DOOR-4L,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 4L"
300,ASM-53-300-DOOR-4R,Bolt,M12x40,300M Steel,96,100,85,3,30,Perimeter,"Passenger Door 4R"
FLOOR,ASM-53-FLOOR-001,Bolt,M8x30,Ti-6Al-4V,768,200,45,5,20,Grid,"Floor Beam Grid"
FLOOR,ASM-53-FLOOR-002,Bolt,M5x12,Al-7075-T6,1680,200,15,5,15,Grid,"Floor Panels"
FLOOR,ASM-53-FLOOR-003,Bolt,M10x35,300M Steel,576,150,70,3,25,Linear,"Seat Tracks - Critical"
400,ASM-53-400-001,Bolt,M12x35,Ti-6Al-4V,72,120,50,5,30,Clustered,"Forward Spar"
400,ASM-53-400-002,Bolt,M12x35,Ti-6Al-4V,72,120,50,5,30,Clustered,"Rear Spar"
400,ASM-53-400-003,Bolt,M16x50,300M Steel,48,100,120,2,40,Clustered,"MLG Bay Left - Critical"
400,ASM-53-400-004,Bolt,M16x50,300M Steel,48,100,120,2,40,Clustered,"MLG Bay Right - Critical"
400,ASM-53-400-DOOR-CRG-FL,Bolt,M14x45,300M Steel,144,120,95,3,35,Perimeter,"Cargo Door FL"
400,ASM-53-400-DOOR-CRG-FR,Bolt,M14x45,300M Steel,144,120,95,3,35,Perimeter,"Cargo Door FR"
400,ASM-53-400-DOOR-CRG-AL,Bolt,M14x45,300M Steel,144,120,95,3,35,Perimeter,"Cargo Door AL"
400,ASM-53-400-DOOR-CRG-AR,Bolt,M14x45,300M Steel,144,120,95,3,35,Perimeter,"Cargo Door AR"
600,ASM-53-600-001,Bolt,M8x30,Ti-6Al-4V,64,150,45,5,20,Uniform,"Aft Bulkhead"
600,ASM-53-600-002,Bolt,M14x45,300M Steel,32,100,95,3,35,Clustered,"Empennage Attachment"
600,ASM-53-600-003,Bolt,M6x16,Ti-6Al-4V,288,200,30,5,15,Grid,"Tail Cone"
